"REG_MEAS_ID"	"REG_MEAS_TYPE"	"WDID"	"RECEIVED_DATE"	"PROCESSED_DATE"	"TERMINATION_DATE"	"STATUS_CODE_NAME"	"STATUS_DATE"	"REGION"	"COUNTY_CODE"	"FACILITY_NAME"	"PLACE_SIZE"	"PLACE_SIZE_UNIT"	"FACILITY_ADDRESS"	"FACILITY_CITY"	"FACILITY_STATE"	"FACILITY_ZIP"	"FACILITY_COUNTY"	"FACILITY_CONTACT_NAME"	"FACILITY_CONTACT_TITLE"	"FACILITY_CONTACT_PHONE"	"FACILITY_CONTACT_PHONE_EXT"	"FACILITY_CONTACT_EMAIL"	"OPERATOR_NAME"	"OPERATOR_ADDRESS"	"OPERATOR_CITY"	"OPERATOR_STATE"	"OPERATOR_ZIP"	"OPERATOR_CONTACT_NAME"	"OPERATOR_CONTACT_TITLE"	"OPERATOR_CONTACT_PHONE"	"OPERATOR_CONTACT_PHONE_EXT"	"OPERATOR_CONTACT_EMAIL"	"OPERATOR_TYPE"	"DEVELOPER_NAME"	"DEVELOPER_ADDRESS"	"DEVELOPER_CITY"	"DEVELOPER_STATE"	"DEVELOPER_ZIP"	"DEVELOPER_CONTACT_NAME"	"DEVELOPER_CONTACT_TITLE"	"CONSTYPE_LINEAR_UTILITY_IND"	"EMERGENCY_PHONE_NO"	"EMERGENCY_PHONE_EXT"	"CONSTYPE_ABOVE_GROUND_IND"	"CONSTYPE_BELOW_GROUND_IND"	"CONSTYPE_CABLE_LINE_IND"	"CONSTYPE_COMM_LINE_IND"	"CONSTYPE_COMMERTIAL_IND"	"CONSTYPE_ELECTRICAL_LINE_IND"	"CONSTYPE_GAS_LINE_IND"	"CONSTYPE_INDUSTRIAL_IND"	"CONSTYPE_OTHER_DESRIPTION"	"CONSTYPE_OTHER_IND"	"CONSTYPE_RECONS_IND"	"CONSTYPE_RESIDENTIAL_IND"	"CONSTYPE_TRANSPORT_IND"	"CONSTYPE_UTILITY_DESCRIPTION"	"CONSTYPE_UTILITY_IND"	"CONSTYPE_WATER_SEWER_IND"	"DIR_DISCHARGE_USWATER_IND"	"RECEIVING_WATER_NAME"	"CERTIFIER_NAME"	"CERTIFIER_TITLE"	"CERTIFICATION_DATE"	"PRIMARY_SIC"	"SECONDARY_SIC"	"TERTIARY_SIC"	"DateTimeEntered"
214848.00	"Industrial"	"9 30I000113"	5/9/2008 0:00:00	2/20/1992 0:00:00		"Active"	11/17/2015 0:00:00	9.00	30.00	"Saddleback Valley Unified School District"			" 25631 Peter A Hartman Way"	"Mission Viejo"	"California"	92691.00	"Orange"	"Peter Souder"	"MOC Manager"	"949-598-3878"		"souderp@svusd.org"	"Saddleback Valley USD"	" 25631 Peter Hartman Wy"	"Mission Viejo"	"California"	92691.00	"Peter Souder"	"MOC Manager"	"949-598-3878"		"souderp@svusd.org"	"Special District"		" "		"California"		" "			"949-533-9450"																		"N"	"Moulton Niguel"	"Peter Souder"	"MOC Manager"	"26-AUG-15 02.29.27.567000 PM"	"4151-School Buses"			8/14/2017 12:48:38
290902.00	"Industrial"	"9 30I001035"	5/9/2008 0:00:00	3/25/1992 0:00:00		"Terminated"	3/25/1992 0:00:00	9.00	30.00	"Dana Point Shipyard "	1.00	"Acres"	" 34671 Puerto Pl"	"Dana Point"	"California"	92629.00	"Orange"	" "					"Shannep, CB"	" 34671 Puerto Pl"	"Dana Point"	"California"	92629.00	" "					"Other"		" "		"California"		" "																						"Dana Point Harbor"				"3732-Boat  Building and Repairing"			8/14/2017 12:48:38
214850.00	"Industrial"	"9 30I001336"	5/9/2008 0:00:00	3/27/1992 0:00:00		"Terminated"	9/7/2006 0:00:00	9.00	30.00	"El Toro "	3.00	"Acres"	" 20851 El Toro Rd"	"El Toro"	"California"	92630.00	"Orange"	"Bill Woyshner"		"9494541771"			"Vulcan Material dba Cal Mat Co "	" 500 N Brand Blvd"	"Glendale"	"California"	91203.00	"Bill Woyshner"		"323-258-2777"			"Private Business"		" "		"California"		" "			"323-258-2777"																			"Aliso Creek"	"Charles St John"		"21-JUN-12 02.54.00.174000 PM"	"2951-Asphalt Paving Mixtures and Blocks"			8/14/2017 12:48:38
214851.00	"Industrial"	"9 30I001966"	5/9/2008 0:00:00	3/30/1992 0:00:00	8/28/2015 0:00:00	"Terminated"	8/28/2015 0:00:00	9.00	30.00	"Capistrano USD Capo Beach"	5.00	"Acres"	" 26126 Victoria Blvd"	"Capistrano Beach"	"California"	92624.00	"Orange"	"Merit Whitney"		"949-234-9979"		"mjwhitney@capousd.org"	"Capistrano Unified School District"	" 2B Liberty"	"Aliso Viejo"	"California"	92656.00	"Merit Whitney"		"949-234-9979"		"mjwhitney@capousd.org"	"Other"		" "		"California"		" "			"949-489-7349"																		"N"	"Pacific Ocean"	"Carlos Chicas"	"Director of Transportation"	"22-JUN-15 01.13.11.673000 PM"	"4151-School Buses"			8/14/2017 12:48:37
214852.00	"Industrial"	"9 30I002084"	5/9/2008 0:00:00	3/30/1992 0:00:00		"Active"	3/30/1992 0:00:00	9.00	30.00	"UPS Laguna CALAG"	1521526.00	"SqFt"	" 22 Brookline"	"Aliso Viejo"	"California"	92656.00	"Orange"	"Michael Granche"	"Plant Engineering Supervisor"	"949-643-6644"		"eotubuah@gmail.com"	"United Parcel Service"	" 1201 W Olympic Blvd"	"Los Angeles"	"California"	90015.00	"Edwin Otubuah"	"District Environmental Coordinator"	"909-974-7909"		"eotubuah@ups.com"	"Private Business"		" "		"California"		" "			"714-215-6973"																		"N"	"Aliso Creek"	"Tom Cuce"	"President"	"15-FEB-16 11.53.50.524000 AM"	"4215-Courier Services Except by Air"			8/14/2017 12:48:38
218233.00	"Industrial"	"9 30I003198"	5/9/2008 0:00:00	4/3/1992 0:00:00	10/29/2014 0:00:00	"Terminated"	10/29/2014 0:00:00	9.00	30.00	"So Cal Edison Co San Onofre Fa"	218.00	"Acres"	" 5000 Pacific Coast Hwy"	"San Clemente"	"California"	92672.00	"Orange"	"Brian Metz"	"Manager"	"949-368-7311"		"Brian.Metz@sce.com"	"Southern California Edison"	" 2244 Walnut Grove Ave GO-1 Quad 2C "	"Rosemead"	"California"	91770.00	"Brian Metz"		"949-368-7311"		"Brian.Metz@sce.com"	"Special District"		" "		"California"		" "			"949-368-6655"																		"N"	"Pacific Ocean"	"John Slayton"		"03-AUG-12 10.50.18.461000 AM"	"4911-Electric Services"			8/14/2017 12:48:38
214853.00	"Industrial"	"9 30I003274"	5/9/2008 0:00:00			"Terminated"	7/18/2006 0:00:00	9.00	30.00	"Standard Concrete Prod Inc "	3.00	"Acres"	" 20851 El Toro Rd"	"El Toro"	"California"	92604.00	"Orange"	"Jamey Cox"		"949-951-3732"			"Standard Concrete Product Inc"	" 2002 E Mcfadden Ave Ste 150"	"Santa Ana"	"California"	92705.00	"Garry Reisner"		"714-245-1550"			"Private Business"		" "		"California"		" "			"949-951-3732"																			"Pacific Ocean"				"3273-Ready-Mixed Concrete"			8/14/2017 12:48:38
290981.00	"Industrial"	"9 30I003572"	5/9/2008 0:00:00	4/3/1992 0:00:00		"Terminated"	4/3/1992 0:00:00	9.00	30.00	"Endevco "	15.00	"Acres"	" 30700 Rancho Viejo Rd"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Joyce Tribell"					"Endevco Corp "	" 30700 Rancho Viejo Rd"	"San Juan Capistrano"	"California"	92675.00	"Joyce Tribell"		"949-493-8181"			"Private Business"		" "		"California"		" "																						"Pacific Ocean"				"3829-Measuring and Controlling Devices, NEC"	"3672-Printed Circuit Boards"		8/14/2017 12:48:38
214856.00	"Industrial"	"9 30I004173"	5/9/2008 0:00:00			"Terminated"	5/11/2006 0:00:00	9.00	30.00	"Clark Foam "	23.00	"Acres"	" 25887 Crown Valley Pkwy"	"Laguna Niguel"	"California"	92677.00	"Orange"	"Laguna Niguel"		"949-582-1432"			"Clark Foam "	" 25887 Crown Valley Pkwy"	"Laguna Niguel"	"California"	92677.00	"Gordon Clark"		"949-582-1431"			"Private Business"		" "		"California"		" "			"949-582-1432"																			"Oso Creek Flood Channel"				"3086-Plastics Foam Products"	"2821-Plastics Material and Synthetic Resins, and Nonvulcanizable Elastomers"		8/14/2017 12:48:38
214858.00	"Industrial"	"9 30I005260"	5/9/2008 0:00:00	4/9/1992 0:00:00		"Active"	4/9/1992 0:00:00	9.00	30.00	"Prima Deshecha Landfill"	1530.00	"Acres"	" 32250 La Pata Ave"	"San Juan Capistrano"	"California"	92675.00	"Orange"	"Jeff Arbour"		"714-834-4056"		"Jeff.Arbour@ocwr.ocgov.com"	"OC Waste  Recycling"	" 300 N Flower St "	"Santa Ana"	"California"	92703.00	"Jeff Arbour"		"714-834-4056"		"Jeff.arbour@ocwr.ocgov.com"	"County Agency"		" "		"California"		" "			"714-380-8731"																		"N"	"Prima Deshecha Canada"	"Shaw Lin"	"Director"	"03-MAR-17 11.51.32.664000 AM"	"4953-Refuse Systems"			8/14/2017 12:48:38
