"Receiving Water"	"Type"
"San Diego River Drainage"	"Freshwater"
"San Diego River To Pacific Oce"	"Freshwater"
"San Diego RIver Unnamed Tributary"	"Freshwater"
"San Diego Storm System"	"Freshwater"
"San Diego Water Treatment Plant"	"Freshwater"
"San Dieguito River"	"Freshwater"
"San Dieguito River Via Tributaries"	"Freshwater"
"San Elijo Lagoon"	"Saltwater"
"San Luis Rey Creek"	"Freshwater"
"San Luis Rey River"	"Freshwater"
"San Luis Rey River Lower"	"Freshwater"
"San Luis Rey via Pilgrim Creek"	"Freshwater"
"San Marcos City MS4"	"Freshwater"
"San Marcos creek"	"Freshwater"
"San Marcos Storm Drain"	"Freshwater"
"San Marcus Creek"	"Freshwater"
"San Onofre Creek"	"Freshwater"
"San Pasqual Creek"	"Freshwater"
"San Vicente Creek"	"Freshwater"
"San Vincente Creek"	"Freshwater"
"Santa Margarita River"	"Freshwater"
"Santa Margaritia River"	"Freshwater"
"Santa Maria Creek"	"Freshwater"
"Santa Maria Creek Drainage"	"Freshwater"
"Santa Ysabel Creek"	"Freshwater"
"Seasonal Creek"	"Freshwater"
"Seventh St Channel"	"Saltwater"
"Seventh Street Channel"	"Saltwater"
"sewer"	"Freshwater"
"Site Wide Storm Drain Sys"	"Freshwater"
"Slaughterhouse Canyon Creek"	"Freshwater"
"Slaughterhouse Stream"	"Freshwater"
"Soledad Canyon Creek"	"Freshwater"
"Spring Canyon"	"Freshwater"
"Spring Canyon Creek"	"Freshwater"
"squires reservour "	"Freshwater"
"Steele Canyon Creek"	"Freshwater"
"storm drain"	"Freshwater"
"Storm Drain "	"Freshwater"
"storm drainr"	"Freshwater"
"Storm Drains"	"Freshwater"
"Storm Water Drain in Street"	"Freshwater"
"Storm water is collected by sumps that feed two water tanks"	"Freshwater"
"Stream"	"Freshwater"
"Strom Drain"	"Freshwater"
"sweet water reservoir"	"Freshwater"
"Sweet Water River"	"Freshwater"
"Sweetwater Authority"	"Freshwater"
"Sweetwater Reservoir"	"Freshwater"
"Sweetwater River"	"Freshwater"
"Sweetwater River to Pacific Ocean"	"Freshwater"
"Sycamore Creek"	"Freshwater"
"Tecolate Creek"	"Freshwater"
"Tecolote Creek"	"Freshwater"
"Telegraph Canyon Creek"	"Freshwater"
"Tijuana Estuary"	"Saltwater"
"Tijuana River"	"Freshwater"
"Tijuana River "	"Freshwater"
"Tijuana River Unnamed Tributary"	"Freshwater"
"Tijuana River Valley"	"Freshwater"
"tributary to Las Flores Creek"	"Freshwater"
"tributary to San Onofre Creek"	"Freshwater"
"unknown"	"Freshwater"
"unnamed canal"	"Freshwater"
"Unnamed Creek On Topo Map"	"Freshwater"
"Unnamed tributary of Soledad Canyon"	"Freshwater"
"Unnamed Tributary to Penasquitos Creek"	"Freshwater"
"Unnamed Tributary to San Marcos Creek part of City municipal storm water system"	"Freshwater"
"Vallecitos Water District."	"Freshwater"
"Wastewater Treatment Plant"	"Freshwater"
"Waters of the United States "	"Freshwater"
"Willow Creek"	"Freshwater"
" Three quarters of a mile upstream of Santa Maria Creek"	"Freshwater"
"Adler Creek"	"Freshwater"
"Agua Hedionda Creek"	"Freshwater"
"An unnamed perennial creek east of the site "	"Freshwater"
"Batiguitos Lagoon"	"Saltwater"
"Batiquitos Lagoon"	"Saltwater"
"Bay"	"Saltwater"
"Beau Vista Creek"	"Freshwater"
"Beeler Canyon"	"Freshwater"
"Beeler Canyon Creek"	"Freshwater"
"Beeler Creek"	"Freshwater"
"Buena Creek"	"Freshwater"
"Buena Vista Creek"	"Freshwater"
"Canyon De Las Encinas Stream"	"Freshwater"
"Carrell Canyon Creek"	"Freshwater"
"Carrol Creek"	"Freshwater"
"Carroll Canyon"	"Freshwater"
"Carroll Canyon Creek"	"Freshwater"
"Carroll Canyon River"	"Freshwater"
"Carroll Creek"	"Freshwater"
"Chicarita Creek"	"Freshwater"
"CHOCOLATE CREEK"	"Freshwater"
"Chollas Creek"	"Freshwater"
"Chollas Creek Channel"	"Freshwater"
"Chollas Creek Watershed"	"Freshwater"
"City MS4"	"Freshwater"
"City of Poway Storm Drain System"	"Freshwater"
"City of San Marcos drainage ditch"	"Freshwater"
"City of Vista Stormwater System"	"Freshwater"
"Copper"	"Freshwater"
"Cottonwood Creek"	"Freshwater"
"County Ditch Creek"	"Freshwater"
"Dennery Canyon Stream"	"Freshwater"
"Dry Culvert"	"Freshwater"
"El Cajon Storm Drain"	"Freshwater"
"El Capitan Reservoir"	"Freshwater"
"Encinas Creek"	"Freshwater"
"Escondido"	"Freshwater"
"Escondido Creek"	"Freshwater"
"Escondido Creek "	"Freshwater"
"Escondido Creek Flood Control"	"Freshwater"
"Escondido Drainage"	"Freshwater"
"Escondido River"	"Freshwater"
"Fallbrook Creek"	"Freshwater"
"Forester Creek"	"Freshwater"
"Forester Creek Channel"	"Freshwater"
"Forrester Creek"	"Freshwater"
"Goat Canyon Creek"	"Freshwater"
"INDIRECTLY TO THE SAN DIEGO RIVER"	"Freshwater"
"Johnson Canyon Creek"	"Freshwater"
"Keyes Creek"	"Freshwater"
"Keys Creek"	"Freshwater"
"La Mirada Creek to Agua Hedionda Creek"	"Freshwater"
"La Palleta Creek"	"Freshwater"
"Lake Henshaw"	"Freshwater"
"Lake Hodges"	"Freshwater"
"Lake San Marcos"	"Freshwater"
"Lakeside Water District"	"Freshwater"
"Little Gropher Creek"	"Freshwater"
"Little Sycamore Canyon Stream"	"Freshwater"
"Loma Alta Creek"	"Freshwater"
"Lomas Santa Fe Creek"	"Freshwater"
"Los Coches Creek"	"Freshwater"
"Los Penasquitos Creek"	"Freshwater"
"Los Penasquitos Lagoon"	"Saltwater"
"Mission Bay"	"Saltwater"
"MS"	"Freshwater"
"MS4 to San Luis Rey River"	"Freshwater"
"Murphy Canyon Creek"	"Freshwater"
"Murphy Canyon Creek Pacific Oc"	"Freshwater"
"Murphy Canyon San Diego River"	"Freshwater"
"None"	"Freshwater"
"Ocean"	"Saltwater"
"Old Castle Creek"	"Freshwater"
"Otay"	"Freshwater"
"otay crik"	"Freshwater"
"Otay Lakes"	"Freshwater"
"Otay River"	"Freshwater"
"Otay River "	"Freshwater"
"Otay Valley River"	"Freshwater"
"Otay Valley River To Pacific"	"Freshwater"
"Otay Water District"	"Freshwater"
"Otay Water District Pacific O"	"Saltwater"
"Pacific"	"Saltwater"
"Pacific Beach"	"Saltwater"
"Pacific by way of San Diego River"	"Freshwater"
"Pacific Ocean"	"Saltwater"
"pacific ocean "	"Saltwater"
"Pacific Ocean  San Diego Bay"	"Saltwater"
"Pacific Ocean via Storm Drain"	"Saltwater"
"Paradise Creek"	"Freshwater"
"Penasquitos Creek"	"Freshwater"
"Potw And San Diego Bay"	"Saltwater"
"Poway Creek"	"Freshwater"
"Property Drain"	"Freshwater"
"Property Storm Drain Sys"	"Freshwater"
"Property Wade Storm Drain Systems"	"Freshwater"
"Property Wide Drain Sys"	"Freshwater"
"Property Wide Storm"	"Freshwater"
"Property Wide Storm Drain"	"Freshwater"
"Property Wide Storm Drain Sys"	"Freshwater"
"Property Wide Storm Drain Syst"	"Freshwater"
