"WDID"	"Date/time of sample collection"	"Monitoring Location Latitude"	"Monitoring Location Longitude"	"Parameter"	"Result"	"Units"	"Latitude"	"Longitude"	"DateEntered"
"9 30I000113"	1/5/2016 0:00:00	33.62	-117.68	"pH"	7.10	"SU"	33.62	-117.68	8/14/2017 13:08:08
"9 30I000113"	1/5/2016 0:00:00	33.62	-117.68	"Total Suspended Solids (TSS)"	39.00	"mg/L"	33.62	-117.68	8/14/2017 13:08:08
"9 30I000113"	1/20/2017 0:00:00	33.62	-117.68	"Oil and Grease"	1.50	"mg/L"	33.62	-117.68	8/14/2017 13:08:09
"9 30I000113"	1/20/2017 0:00:00	33.62	-117.68	"pH"	6.90	"SU"	33.62	-117.68	8/14/2017 13:08:09
"9 30I000113"	1/20/2017 0:00:00	33.62	-117.68	"Total Suspended Solids (TSS)"	19.00	"mg/L"	33.62	-117.68	8/14/2017 13:08:09
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Cadmium Total"	0.01	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Copper Total"	0.05	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Electrical Conductivity @ 25 Deg. C"	115.00	"umhos/cm"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Electrical Conductivity @ 25 Deg. C"	126.00	"umhos/cm"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Gasoline"	0.02	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Lead Total"	0.01	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Methylene Blue Active Substances (MBAS)"	0.90	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Methylene Blue Active Substances (MBAS)"	1.00	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Nickel Total"	0.05	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Oil and Grease"	5.00	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Petroleum Hydrocarbons Total"	0.50	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"pH"	6.00	"SU"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Total Suspended Solids (TSS)"	20.00	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Total Suspended Solids (TSS)"	121.00	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Zinc Total"	0.41	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I001966"	12/19/2013 0:00:00	33.46	-117.67	"Zinc Total"	0.44	"mg/L"	33.46	-117.67	8/14/2017 13:08:06
"9 30I002084"	11/27/2015 0:00:00	33.35	-117.43	"Copper Total"	6.3e-03	"mg/L"	33.58	-117.72	8/14/2017 13:08:08
"9 30I002084"	11/27/2015 0:00:00	33.35	-117.43	"Oil and Grease"	1.40	"mg/L"	33.58	-117.72	8/14/2017 13:08:08
"9 30I002084"	11/27/2015 0:00:00	33.35	-117.43	"pH"	7.00	"SU"	33.58	-117.72	8/14/2017 13:08:08
"9 30I002084"	11/27/2015 0:00:00	33.35	-117.43	"Total Suspended Solids (TSS)"	5.80	"mg/L"	33.58	-117.72	8/14/2017 13:08:08
"9 30I002084"	11/27/2015 0:00:00	33.35	-117.43	"Zinc Total"	0.07	"mg/L"	33.58	-117.72	8/14/2017 13:08:08
